CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"7711","CHEM 104","1","Introductory Chemistry II","3","  AINW","Lec","MWF","1200-1250","FORBES 2015","Cole, K","19","Open",
"7750","CHEM 104L","1","Introductory Chemistry Lab II","1","  AINW","Lab","M","1800-2150","FORBES 3009","Harris, S","0","Closed",
"7712","CHEM 121","1","General Chemistry I","3","  AINW","Lec","TR","1330-1445","FORBES 1022","Harris, S","0","Closed",
"8194","CHEM 121","2","General Chemistry I","3","  AINW","Lec","TR","1500-1615","FORBES 2015","Harris, S","0","Closed",
"7713","CHEM 121L","1","General Chemistry Lab I","1","  AINW","Lab","T","1800-2150","FORBES 3009","Ciancio, E","0","Closed",
"7714","CHEM 121L","2","General Chemistry Lab I","1","  AINW","Lab","W","0800-1150","FORBES 3009","Wolfgang, D","13","Open",
"7715","CHEM 121L","3","General Chemistry Lab I","1","  AINW","Lab","W","1300-1650","FORBES 3009","Wolfgang, D","0","Closed",
"7716","CHEM 121L","4","General Chemistry Lab I","1","  AINW","Lab","R","1800-2150","FORBES 3009","Ciancio, E","0","Closed",
"7717","CHEM 122","1","General Chemistry II","3","  AINW","Lec","MWF","0900-0950","FORBES 1022","Lasseter, B","0","Closed",
"7718","CHEM 122","2","General Chemistry II","3","  AINW","Lec","MWF","1000-1050","FORBES 1022","Harris, S","0","Closed",
"7719","CHEM 122","3","General Chemistry II","3","  AINW","Lec","MWF","1400-1450","FORBES 1022","Quinlan, R","0","Closed",
"7720","CHEM 122","4","General Chemistry II","3","  AINW","Lec","TR","0800-0915","FORBES 1022","Wolfgang, D","0","Closed",
"8195","CHEM 122","5","General Chemistry II","3","  AINW","Lec","TR","1100-1215","FORBES 1022","Wolfgang, D","0","Closed",
"8196","CHEM 122","6","General Chemistry II","3","  AINW","Lec","MWF","1300-1350","FORBES 2015","Quinlan, R","0","Closed",
"7721","CHEM 122L","1","General Chemistry Lab II","1","  AINW","Lab","M","1300-1650","FORBES 3002","Lasseter, B","0","Closed",
"7730","CHEM 122L","10","General Chemistry Lab II","1","  AINW","Lab","R","1800-2150","FORBES 3002","Wygant, J","0","Closed",
